#{"t_start": 1749043248.6897776, "env_id": "Pendulum-v1"}
r,l,t
-746.834884,200,152.895698
-901.833701,200,153.107531
-795.496209,200,153.339516
-589.387092,200,153.561243
-866.643526,200,153.774108
-1029.979318,200,154.02743
-907.569934,200,154.26347
-981.86214,200,154.479878
-632.04747,200,154.70321
-860.165989,200,156.670878
-724.778289,200,156.880023
-767.776407,200,157.101265
-752.130765,200,157.340004
-716.184783,200,157.550326
-994.153158,200,157.770598
-616.856802,200,157.979653
-1152.451933,200,158.220437
-772.207972,200,158.437889
-764.336836,200,158.650748
-748.446537,200,160.693444
-960.943841,200,160.910016
-836.979985,200,161.120803
-844.100285,200,161.346171
-1097.801161,200,162.593564
-769.734084,200,162.807523
-877.654462,200,163.022402
-961.139275,200,163.253445
-754.668694,200,163.470436
-969.854783,200,163.683424
-1145.984853,200,163.897809
-860.647487,200,165.889867
-919.57553,200,166.108826
-867.118623,200,166.341166
-928.96423,200,166.551577
-927.112513,200,166.77092
-752.266247,200,166.978155
-815.074439,200,167.227582
-967.480544,200,167.44929
-861.653275,200,167.659072
-861.786453,200,167.881531
-742.202268,200,169.82031
-860.261918,200,170.029888
-733.182041,200,170.254446
-751.564699,200,170.491862
-717.417047,200,170.715928
-992.656042,200,170.954474
-835.482307,200,171.195054
-785.631557,200,171.427855
-874.6977,200,171.661612
-915.951892,200,171.894816
-755.725926,200,173.802716
-990.763889,200,174.015939
-621.687772,200,174.255091
-628.054567,200,174.555276
-632.694957,200,174.805108
-722.550297,200,175.085816
-636.344804,200,175.388305
-773.688598,200,175.623661
-631.737452,200,175.909973
-744.844995,200,176.166814
-872.903357,200,178.31629
-503.627512,200,178.531033
-863.50811,200,178.810184
-629.359615,200,179.023286
-680.651095,200,179.332856
-863.216856,200,179.668979
-862.978184,200,179.907681
-816.963166,200,180.158089
-854.16955,200,180.794839
-732.151772,200,181.34888
-741.233642,200,181.859911
-722.431983,200,183.950949
-741.242311,200,184.228199
-861.190488,200,184.480438
-1020.413576,200,184.728911
-970.744576,200,184.972311
-834.40062,200,185.247454
-892.122457,200,185.51686
-729.202655,200,185.78808
-631.062801,200,186.041785
-647.228041,200,186.330418
-852.560516,200,188.347919
-840.887465,200,188.569772
-739.808079,200,188.781417
-621.498435,200,189.012501
-503.473615,200,189.243233
-633.773634,200,189.488631
-519.226717,200,189.72544
-633.438436,200,189.931433
-807.605542,200,190.153402
-609.658922,200,190.406517
-634.825133,200,192.410094
-562.467367,200,192.626979
-752.249886,200,192.843956
-635.202941,200,193.056427
-502.692286,200,193.285709
-870.670563,200,193.503715
-510.557099,200,193.723553
-755.917274,200,193.937096
-1039.437369,200,194.164141
-872.461423,200,194.38609
-669.428247,200,196.392266
-630.181931,200,196.60871
-511.629943,200,196.828352
-506.450387,200,197.037433
-589.789881,200,197.266308
-723.18266,200,197.480646
-619.977432,200,197.735603
-532.940178,200,197.950076
-741.821291,200,198.179593
-509.093725,200,198.401222
-629.316699,200,198.625376
-808.721143,200,200.524679
-770.515338,200,200.736948
-622.115087,200,200.958461
-623.925411,200,201.180319
